fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
AFP,2020/04/06 ,France,false,"In this video, Portuguese governement asked its citizens living abroad not to come back this summer, due to Covid-19 pandemics, and will maintain its confinement dispositions","Portugal asked its foreign nationals not to come back for Easter holidays due to the pandemics, according to Portuguese head of diplomacy Augusto Santos Silva, and wasn't mentioning summer",Social media,https://factuel.afp.com/non-le-gouvernement-portugais-ninterdit-pas-ses-ressortissants-de-letranger-de-se-rendre-au-portugal
The Quint,2020/04/06 ,India,false,WhatsApp group admins will be arrested if anyone shares any joke/information about the coronavirus.,The message quotes the Disaster Management Act to say that action will be taken. But the sections it mentions say nothing about disseminating information. The message is alarmist in nature and creating panic.,Facebook,https://www.thequint.com/news/webqoof/action-against-whatsapp-admins-over-covid-19-jokes-hoax-alert
Check,2020/04/06 ,Latvia,false,"Claim saying there is no mortality increase in Europe, so Covid-19 is exaggerated.","Death rate is significantly up in UK, regions of Italy, Spain and France compared to the previous years average.",Russian economist,https://ru.rebaltica.lv/1014-2/
BOOM FactCheck,2020/04/06 ,India,false,The Gandhi siblings- Priyanka and Rahul broke down the lockdown enforced in India and were roaming around.,This video is from 2019 when the siblings had visited Meerut to meet the anti-CAA protestors.,Facebook,https://www.boomlive.in/fake-news/dated-clip-falsely-shared-as-gandhis-violating-lockdown-7563
AFP,2020/04/06 ,West Africa,false,"A nurse working in the US informs Ivorian citizens that their government is misleading them, disguising vaccines centers into testing centers against Covid-19.","To this day, there is still no vaccine against COVID-19. A lot of claims exposed in the video are false, and it is impossible to vaccine with screening tools",Social media,https://factuel.afp.com/cette-video-qui-promet-la-verite-sur-les-centres-de-depistage-en-cote-divoire-comporte-de-nombreuses
Rappler,2020/04/06 ,Philippines,false,The maker of the novel coronavirus has been arrested.,"Lieber was not arrested for creating the coronavirus, but for lying about his affiliation with China.",Facebook page Videos and News Update,https://www.rappler.com/newsbreak/fact-check/257788-maker-coronavirus-arrested
Vishvas News,2020/04/06 ,India,fake,WHO issued proposal for extending lockdowns to control COVID-19.,WHO issued proposal for extending lockdowns to control COVID-19.,FB Page,https://www.vishvasnews.com/english/health/fact-check-who-didnt-issue-proposal-for-extending-lockdowns-to-control-covid-19-fake-post-getting-viral-2/
AFP,2020/04/06 ,Nigeria,false,A widely shared picture purports to show food earmarked for distribution to families in Rwanda ahead of a coronavirus lockdown.,"The image has been circulating online since at least May 2019. Former World Bank chief Ngozi Okonjo-Iweala was among those who fell for the hoax, sharing the photo with her 1.1 million Twitter followers.",FB,https://factcheck.afp.com/old-picture-taken-pandemic
LeadStories,2020/04/06 ,United States,false,"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those.","Not all of the numbers cited in the post about cases of various flus are not accurate. Other news outlets, as well as the CDC, have issued reports about closings well before the coronavirus hit peak cases.",facebook,https://leadstories.com/hoax-alert/2020/04/fact-check-comparing-other-virus-death-counts-to-covid-19-does-not-signal-government-secrets.html
Check,2020/04/06 ,Latvia,false,Claim saying Bill Gates has said microchips will be mandatory for travelling after Covid-19.,"Conspiracy theories on vaccination and ""total control"" are built around things Bill Gates never actually said.",Facebook,https://rebaltica.lv/2020/04/nav-taisniba-bils-geits-nav-runajis-par-obligatiem-mikrocipiem-celosanai/
PesaCheck,2020/04/06 ,Kenya,false,Kenyan electoral commission (IEBC) has hinted at postponing the 2022 general elections.,"A Facebook post claiming that the Independent Electoral and Boundaries Commission chairperson Wafula Chebukati has hinted at postponing the 2022 general election due to anticipated economic disruptions by COVID-19. The IEBC has dismissed the claim, stating that neither the commission nor its chair has issued any such statement.",facebook post,https://pesacheck.org/false-iebc-chairman-wafula-chebukati-has-not-hinted-at-postponing-2022-general-election-due-to-1e9e69c74ded
Rappler,2020/04/06 ,Philippines,false,"Queen Elizabeth II praised President Rodrigo Duterte and said that the Philippines has the worst citizens, according to a graphic that went viral on Facebook.",Queen Elizabeth II did not issue such a statement – or even close to it.,Several Facebook pages and accounts,https://www.rappler.com/newsbreak/fact-check/257276-queen-elizabeth-quote-praising-duterte
AFP,2020/04/06 ,France,false,"In this video, Portuguese governement asked its citizens living abroad not to come back this summer, due to Covid-19 pandemics, and will maintain its confinement dispositions","Portugal asked its foreign nationals not to come back for Easter holidays due to the pandemics, according to Portuguese head of diplomacy Augusto Santos Silva, and wasn't mentioning summer",Social media,https://factuel.afp.com/non-le-gouvernement-portugais-ninterdit-pas-ses-ressortissants-de-letranger-de-se-rendre-au-portugal
La Nación,2020/04/06 ,Costa Rica,false,The Public Force is recruiting people to reinforce police control on the Nicaraguan border.,"The Director of Public Force Operations, Milton Alvarado, affirms that they have not made any calls or promoted any movement to recruit the population","Facebook, WhatsApp",https://www.nacion.com/no-coma-cuento/nocomacuento-fuerza-publica-no-esta-reclutando/S45UJIPNPRAQXCV24JPWVAOH3Q/story/
Factly,2020/04/06 ,India,false,Lockdown in Telangana extended till 3 June 2020.,"No, the lockdown has not been extended till 3 June 2020 in Telangana. While CM KCR has expressed his wish to extend the lockdown and made an appeal to PM, no such extension has been announced. CM KCR himself has debunked the claim in his press conference.",Social Media,https://factly.in/no-the-lockdown-has-not-been-extended-till-03-june-2020-in-telangana/
Check,2020/04/06 ,Latvia,false,"Claim saying there is no mortality increase in Europe, so Covid-19 is exaggerated.","Death rate is significantly up in UK, regions of Italy, Spain and France compared to the previous years average.",Russian economist,https://ru.rebaltica.lv/1014-2/
Newtral.es,2020/04/06 ,Spain,false,Italy decreases the number of politicians to reduce expenses by COVID-19.,"The measure was taken in October last year, it has nothing to do with COVID-19",Lancelotdigital.com,https://www.newtral.es/italia-no-ha-rebajado-el-numero-de-politicos-por-la-covid-19-la-medida-se-tomo-en-octubre-del-ano-pasado/20200408/
Factly,2020/04/06 ,India,false,The Government of Andhra Pradesh has made Kanipakam temple a quarantine center for coronavirus suspects.,"The building in the video is not Kanipakam temple, it is a pilgrim lodge (‘Sri Ganesh Sadan’) in Kanipakam that is being used as a quarantine center by the Andhra Pradesh government.",Social Media,https://factly.in/the-quarantine-center-seen-in-the-video-is-not-kanipakam-temple-its-a-pilgrim-lodge-in-kanipakam/
PolitiFact,2020/04/06 ,United States,pants on fire!,Queen Elizabeth said Philippine President Rodrigo Duterte “is the kind of leader who knows the way … Filipinos are very lucky to have him.”,"Queen Elizabeth delivered a speech addressing the coronavirus on April 5, but she didn't mention President Rodrigo Duterte.",Viral image,https://www.politifact.com/factchecks/2020/apr/07/viral-image/no-queen-elizabeth-didnt-praise-philippine-preside/
AFP,2020/04/06 ,West Africa,false,"A nurse working in the US informs Ivorian citizens that their government is misleading them, disguising vaccines centers into testing centers against Covid-19.","To this day, there is still no vaccine against COVID-19. A lot of claims exposed in the video are false, and it is impossible to vaccine with screening tools",Social media,https://factuel.afp.com/cette-video-qui-promet-la-verite-sur-les-centres-de-depistage-en-cote-divoire-comporte-de-nombreuses
Maldita.es,2020/04/06 ,Spain,false,Traffic images in Madrid for the start of Easter.,The agglomerations that are being seen are due to the controls established to prevent unjustified movements.,Twitter,https://maldita.es/malditobulo/2020/04/08/retenciones-carreteras-salida-madrid-vacaciones-semana-santa/
CheckNews,2020/04/06 ,France,false,Emmanuel Macron spent the first week-end of April in his residency of Bregançon in the South of France.,"An old video from 2018 is widely shared again. Some people think it was taken in 2020,",Facebook,https://www.liberation.fr/checknews/2020/04/06/non-macron-n-a-pas-passe-le-premier-week-end-d-avril-au-fort-de-bregancon_1784330
AFP,2020/04/06 ,Nigeria,false,A widely shared picture purports to show food earmarked for distribution to families in Rwanda ahead of a coronavirus lockdown.,"The image has been circulating online since at least May 2019. Former World Bank chief Ngozi Okonjo-Iweala was among those who fell for the hoax, sharing the photo with her 1.1 million Twitter followers.",FB,https://factcheck.afp.com/old-picture-taken-pandemic
LeadStories,2020/04/06 ,United States,false,"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those.","Not all of the numbers cited in the post about cases of various flus are not accurate. Other news outlets, as well as the CDC, have issued reports about closings well before the coronavirus hit peak cases.",facebook,https://leadstories.com/hoax-alert/2020/04/fact-check-comparing-other-virus-death-counts-to-covid-19-does-not-signal-government-secrets.html
PesaCheck,2020/04/06 ,Kenya,false,Kenyan electoral commission (IEBC) has hinted at postponing the 2022 general elections.,"A Facebook post claiming that the Independent Electoral and Boundaries Commission chairperson Wafula Chebukati has hinted at postponing the 2022 general election due to anticipated economic disruptions by COVID-19. The IEBC has dismissed the claim, stating that neither the commission nor its chair has issued any such statement.",facebook post,https://pesacheck.org/false-iebc-chairman-wafula-chebukati-has-not-hinted-at-postponing-2022-general-election-due-to-1e9e69c74ded
Correctiv,2020/04/06 ,Germany,mostly false,A viral post on Facebook shows a quote of a forensic doctor who allegedly said that not a single healthy person died of Covid-19.,"In interviews the forensic doctor Klaus Püschel claimed that most of the patients who died – in the city of Hamburg – had previous diseases. But he didn't say that not a single healthy person died. Statistics show that also healthy people can get very sick. Further, the autopsies in Hamburg revealed that COVID-19 was the death cause in almost all cases.",Facebook,https://correctiv.org/faktencheck/2020/04/17/rechtsmediziner-klaus-pueschel-hat-nicht-gesagt-dass-nie-ein-gesunder-mensch-am-coronavirus-gestorben-ist
CheckNews,2020/04/06 ,France,false,This map shows when different parts of France will get out of confinement.,This map first appeared in a parodic group that makes jokes on Facebook. French authorities deny the measures described.,"Twitter, Facebook",https://www.liberation.fr/checknews/2020/04/06/cette-carte-montrant-les-sorties-du-confinement-par-region-reprise-par-hanouna-est-fausse_1784387
Rappler,2020/04/06 ,Philippines,false,"Queen Elizabeth II praised President Rodrigo Duterte and said that the Philippines has the worst citizens, according to a graphic that went viral on Facebook.",Queen Elizabeth II did not issue such a statement – or even close to it.,Several Facebook pages and accounts,https://www.rappler.com/newsbreak/fact-check/257276-queen-elizabeth-quote-praising-duterte
AFP,2020/04/06 ,Thailand,false,"A video has been viewed hundreds of thousands of times in multiple Facebook posts which claim it shows two Italian doctors who contracted novel coronavirus, which causes the disease COVID-19, while treating patients.",The footage was taken from the 2010 Mexican television programme “Triunfo del Amor”.,FB,https://factcheck.afp.com/video-actually-shows-scene-mexican-television-series-aired-2010
PolitiFact,2020/04/06 ,United States,pants on fire!,“Same little boy died of COVID-19 in three different countries. Still don’t believe the media is #fakenews?”,Three screenshots using doctored images falsely suggest that there were reports of the same boy’s death in three countries. The boy pictured in the claim died in 2017 from an apparent suicide.,Facebook posts,https://www.politifact.com/factchecks/2020/apr/13/facebook-posts/doctored-images-coronavirus-post-exploit-boys-suic/
La Nación,2020/04/06 ,Costa Rica,false,The United States arrested a Harvard doctor for making and selling covid-19 to China.,"Charles Lieber was arrested in January, but the arrest is unrelated to the COVID-19 coronavirus.","Facebook, WhatsApp",https://www.nacion.com/no-coma-cuento/nocomacuento-estados-unidos-no-detuvo-a-un/FLNVTFTOK5CVTGLFIH6BR6T3WQ/story/
Check,2020/04/06 ,Latvia,false,"Claim saying there is no mortality increase in Europe, so Covid-19 is exaggerated.","Death rate is significantly up in UK, regions of Italy, Spain and France compared to the previous years average.",Russian economist,https://ru.rebaltica.lv/1014-2/
La Nación,2020/04/06 ,Costa Rica,false,The Public Force is recruiting people to reinforce police control on the Nicaraguan border.,"The Director of Public Force Operations, Milton Alvarado, affirms that they have not made any calls or promoted any movement to recruit the population","Facebook, WhatsApp",https://www.nacion.com/no-coma-cuento/nocomacuento-fuerza-publica-no-esta-reclutando/S45UJIPNPRAQXCV24JPWVAOH3Q/story/
PolitiFact,2020/04/06 ,United States,false,"Facebook posts claims the Asian, Hong Kong, swine and bird flus each “killed more people than coronavirus.”","Most of the numbers listed in the post are wrong. Regardless, it’s too soon to compare the number of COVID-19 deaths to deaths from longer-running pandemics.",Facebook posts,https://www.politifact.com/factchecks/2020/apr/14/facebook-posts/too-soon-compare-number-covid-deaths-past-outbreak/
BOOM FactCheck,2020/04/06 ,India,false,The Gandhi siblings- Priyanka and Rahul broke down the lockdown enforced in India and were roaming around.,This video is from 2019 when the siblings had visited Meerut to meet the anti-CAA protestors.,Facebook,https://www.boomlive.in/fake-news/dated-clip-falsely-shared-as-gandhis-violating-lockdown-7563
AFP,2020/04/06 ,West Africa,false,"A nurse working in the US informs Ivorian citizens that their government is misleading them, disguising vaccines centers into testing centers against Covid-19.","To this day, there is still no vaccine against COVID-19. A lot of claims exposed in the video are false, and it is impossible to vaccine with screening tools",Social media,https://factuel.afp.com/cette-video-qui-promet-la-verite-sur-les-centres-de-depistage-en-cote-divoire-comporte-de-nombreuses
CheckNews,2020/04/06 ,France,false,Emmanuel Macron spent the first week-end of April in his residency of Bregançon in the South of France.,"An old video from 2018 is widely shared again. Some people think it was taken in 2020,",Facebook,https://www.liberation.fr/checknews/2020/04/06/non-macron-n-a-pas-passe-le-premier-week-end-d-avril-au-fort-de-bregancon_1784330
FactCrescendo,2020/04/06 ,India,false,Muslim man in Dehradun spitting to spread Coronavirus.,"This event is not related to any communal incident, the person was caught violating lockdown. A F.I.R has been registered against the guy who purposefully posted the video on internet linking it to a specific community with false claim.",Facebook/Twitter/WhatsApp,https://www.factcrescendo.com/fact-check-muslim-man-spitting-in-dehradun-to-spread-coornavirus/
Newtral.es,2020/04/05 ,Spain,false,"Teresa Rodríguez, Andalusian left-party leader, wants to “take savings from citizens” to create a public bank.","The press office of Teresa Rodríguez has explained to Newtral.es that ""she does not want to take away people's savings"" and that she has never proposed such a thing.",Youtube,https://www.newtral.es/es-falso-que-teresa-rodriguez-quiera-quitar-los-ahorros-a-los-ciudadanos-para-crear-una-banca-publica/20200405/
AFP,2020/04/06 ,Philippines,false,A graphic has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim that it contains a quote from Britain’s Queen Elizabeth in which she praises Philippine President Rodrigo Duterte for his efforts to curb the novel coronavirus pandemic. The posts allege that the queen made the remarks during her televised speech on 4/6/20.,Duterte was not mentioned in the queen’s address and the image has been doctored from another graphic that contains a genuine quote by the queen.,"Facebook, Twitter",https://factcheck.afp.com/no-britains-queen-elizabeth-did-not-mention-philippines-her-speech-novel-coronavirus
PesaCheck,2020/04/06 ,Kenya,false,Kenyan electoral commission (IEBC) has hinted at postponing the 2022 general elections.,"A Facebook post claiming that the Independent Electoral and Boundaries Commission chairperson Wafula Chebukati has hinted at postponing the 2022 general election due to anticipated economic disruptions by COVID-19. The IEBC has dismissed the claim, stating that neither the commission nor its chair has issued any such statement.",facebook post,https://pesacheck.org/false-iebc-chairman-wafula-chebukati-has-not-hinted-at-postponing-2022-general-election-due-to-1e9e69c74ded
Rappler,2020/04/05 ,Philippines,false,An arrest by the Federal Bureau of Investigation (FBI) of a professor who had ties to China is connected to the coronavirus pandemic.,"The charges against the professor linked to the university in Wuhan, China had nothing to do with the coronavirus pandemic.",Several Facebook pages and accounts,https://www.rappler.com/newsbreak/fact-check/257579-fbi-arrest-china-backed-professor-linked-coronavirus
Factly,2020/04/05 ,India,false,Photo of a family which committed suicide due to hunger during the lockdown.,"It is an old photo. The same photo can be found in an article published by 'Sakshi' in June 2019. The lady killed her children and committed suicide due to problems with her husband. So, it is neither related to lockdown nor hunger.",Social Media,https://factly.in/telugu-old-and-unrelated-photo-falsely-shared-as-family-committed-suicide-due-to-hunger-during-the-lockdown/
Rappler,2020/04/05 ,Philippines,false,Posts that are circulating on Facebook say that people need to eat alkaline food in order to prevent a novel coronavirus infection.,"Eating alkaline food and drinking lemon with baking soda in hot water is not an official cure for COVID-19. As of Thursday, April 9, the World Heath Organization (WHO) has said there is no medicine that can prevent or cure this disease",Several Facebook pages and accounts,https://www.rappler.com/newsbreak/fact-check/257413-alkaline-food-lemons-prevent-coronavirus-infection
Check,2020/04/06 ,Latvia,false,"Claim saying there is no mortality increase in Europe, so Covid-19 is exaggerated.","Death rate is significantly up in UK, regions of Italy, Spain and France compared to the previous years average.",Russian economist,https://ru.rebaltica.lv/1014-2/
PolitiFact,2020/04/05 ,United States,pants on fire!,"Claim that televangelist Pat Robertson said some young people “are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladies’ private parts and that’s where I think the (corona)virus came from.”",The quote mentioned in a viral tweet is from a satire website.,Tweets,https://www.politifact.com/factchecks/2020/apr/13/tweets/no-pat-robertson-didnt-say-covid-19-caused-oral-se/
PolitiFact,2020/04/06 ,United States,false,"Facebook posts claims the Asian, Hong Kong, swine and bird flus each “killed more people than coronavirus.”","Most of the numbers listed in the post are wrong. Regardless, it’s too soon to compare the number of COVID-19 deaths to deaths from longer-running pandemics.",Facebook posts,https://www.politifact.com/factchecks/2020/apr/14/facebook-posts/too-soon-compare-number-covid-deaths-past-outbreak/
AFP,2020/04/05 ,United States,false,"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquine’s effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it “works.”",This is false; health authorities in these countries say data on this treatment is “preliminary” and “not yet conclusive.”,Twitter,https://factcheck.afp.com/fauci-not-alone-saying-hydroxychloroquine-unproven-against-covid-19
PolitiFact,2020/04/06 ,United States,pants on fire!,Queen Elizabeth said Philippine President Rodrigo Duterte “is the kind of leader who knows the way … Filipinos are very lucky to have him.”,"Queen Elizabeth delivered a speech addressing the coronavirus on April 5, but she didn't mention President Rodrigo Duterte.",Viral image,https://www.politifact.com/factchecks/2020/apr/07/viral-image/no-queen-elizabeth-didnt-praise-philippine-preside/
AFP,2020/04/06 ,West Africa,false,"A nurse working in the US informs Ivorian citizens that their government is misleading them, disguising vaccines centers into testing centers against Covid-19.","To this day, there is still no vaccine against COVID-19. A lot of claims exposed in the video are false, and it is impossible to vaccine with screening tools",Social media,https://factuel.afp.com/cette-video-qui-promet-la-verite-sur-les-centres-de-depistage-en-cote-divoire-comporte-de-nombreuses
PolitiFact,2020/04/05 ,United States,false,Says 44 US senators “voted NOT to send stimulus checks.”,"On March 25, the Senate voted unanimously in favor of the stimulus package that included sending direct payments of up to $1,200 to Americans. President Donald Trump signed the bill into law on March 27. On March 22, Senate Democrats blocked the bill from moving forward over policy disagreements, including oversight of money earmarked for big businesses.",Viral image,https://www.politifact.com/factchecks/2020/apr/15/viral-image/senate-voted-unanimously-favor-stimulus-bill/
PolitiFact,2020/04/06 ,United States,mostly false,The Obama administration left President Donald Trump with a “stockpile with a cupboard that was bare.”,"The director of the national stockpile described it as an $8 billion enterprise in November. While the stockpile had a lot of goods, it didn't have all the needed supplies for the nationwide 2020 pandemic. Reports show that N95 masks were depleted as a result of H1N1 in 2009, and experts warned they should be replenished.",Donald Trump,https://www.politifact.com/factchecks/2020/apr/08/donald-trump/trump-said-obama-admin-left-him-bare-stockpile-wro/
AFP,2020/04/05 ,India,false,"A post has been shared multiple times on Facebook, WhatsApp and Twitter by India-based users alongside a claim that the World Health Organization (WHO) has issued guidelines on COVID-19 lockdown.","Both the WHO and Indian officials clarified that the ""protocol"" is fake.","FB, WhatsApp, Twitter",https://factcheck.afp.com/world-health-organization-confirmed-protocol-covid-19-lockdown-fake
AFP,2020/04/05 ,Thailand,false,An image has been shared thousands of times in multiple posts on Facebook alongside a claim it shows the bodies of an Indian family who committed suicide after running out of food during the nationwide COVID-19 lockdown.,"The claim is false; the photo has circulated online since June 2019 in reports about a murder-suicide in India’s Karnataka state, months before COVID-19 was first detected in the Chinese city of Wuhan in December 2019.",Fb,https://factcheck.afp.com/false-claim-circulates-online-image-shows-starving-indian-family-who-committed-suicide-during-covid
Newtral.es,2020/04/05 ,Spain,false,"Teresa Rodríguez, Andalusian left-party leader, wants to “take savings from citizens” to create a public bank.","The press office of Teresa Rodríguez has explained to Newtral.es that ""she does not want to take away people's savings"" and that she has never proposed such a thing.",Youtube,https://www.newtral.es/es-falso-que-teresa-rodriguez-quiera-quitar-los-ahorros-a-los-ciudadanos-para-crear-una-banca-publica/20200405/
